full_name,a,e,i,om,per_y,diameter,rot_per
" 15883 (1997 CR29)",47.32998331867258,.2149530743064772,19.11390290492508,127.1170261787061,325.621242670127,,
" 15913 Telemachus (1997 TZ27)",5.197480887196108,.05952234906546643,7.252230611040159,49.07403402990645,11.8494325642832,,
" 15977 (1998 MA11)",5.190701538706552,.04926425745749466,17.33744059495316,209.5611600566961,11.8262563659466,,
" 16070 (1999 RB101)",5.131018828258519,.1239473188401146,16.25115165222194,300.8715239106845,11.622876273169,64.13,31.74
" 16099 (1999 VQ24)",5.188954974381617,.0813539267755716,13.44916651568722,96.3889287108434,11.8202879299773,,
" 16152 (1999 YN12)",5.125379561825181,.09559536955454859,3.458816290269065,64.15607028334374,11.6037202870914,,
" 16428 (1988 RD12)",5.230757994433741,.06893338210277271,3.972528561120683,340.0077759134774,11.9634143170281,,
" 16560 Daitor (1991 VZ5)",5.060973892605708,.03936022409331035,15.30552120265924,100.7589622061081,11.3856898085042,51.42,
" 16667 (1993 XM1)",5.208851993425171,.1993191124929356,16.69112732724416,96.59460598171933,11.8883403052349,,
" 16684 (1994 JQ1)",44.0402289759558,.04774116033327186,3.741727559458978,25.61330837694472,292.268866143583,,
" 16956 (1998 MQ11)",5.240913318851008,.1120116909253915,30.89186285961854,137.5480497014877,11.9982710154716,,8.84
" 16974 (1998 WR21)",5.199423993509102,.06834470083195258,15.01946950549318,241.5905025281562,11.8560781468927,55.43,78.9
" 17171 (1999 NB38)",5.138247299177245,.08228326987815303,25.28763835002572,317.9964758997561,11.6474460152203,,
" 17172 (1999 NZ41)",5.205297681095421,.0591207397873449,29.18098492615914,135.237386761535,11.8761741891211,,
" 17314 Aisakos (1024 T-1)",5.168117117386033,.07582944412431143,10.72384224827698,353.7899502240375,11.7491574166123,,
" 17351 Pheidippos (1973 SV)",5.166934260963577,.09639923526856378,15.28657507496303,2.939968011255802,11.7451240024813,,
" 17365 (1978 VF11)",5.267589804673796,.07894337803168423,11.64651519226906,252.1500938607612,12.0899951016595,,12.672
" 17414 (1988 RN10)",5.129997779294146,.03187770635391824,16.58896846722494,153.6720285046877,11.6194070980118,,
" 17415 (1988 RO10)",5.156113684453782,.04682371049110149,23.74467137336222,160.3417103711819,11.7082484262068,,
" 17416 (1988 RR10)",5.119567581525936,.06013024381683175,17.30003254525405,164.4678221302346,11.5839886348708,,
" 17417 (1988 RY10)",5.169221556662253,.08352661018141481,2.222069550758439,112.0113773238066,11.75292385336,,
" 17418 (1988 RT12)",5.193729422995552,.1599398292628888,6.502279869357228,197.6188280958548,11.8366057639351,,
" 17419 (1988 RH13)",5.182934693036445,.06886711497692678,15.95763579125388,45.66331313830531,11.7997228601206,,
" 17420 (1988 RL13)",5.211485805507097,.0821732863617983,15.8532914444533,59.30241102238595,11.8973583034871,,
" 17421 (1988 SW1)",5.147299143893507,.09765362413774019,16.92288622325469,32.14440533883494,11.6782378260002,,
" 17423 (1988 SK2)",5.227156621506807,.09242472286808617,1.621028428260246,158.6999174137647,11.951061241332,,
" 17424 (1988 SP2)",5.200340287775332,.1582291166503101,12.6879386788818,170.1165186076273,11.85921237918,,
" 17442 (1989 UO5)",5.257537051738647,.04609812859942203,15.75317683842868,31.35106183453545,12.055402507992,,
" 17492 Hippasos (1991 XG1)",5.132803306557946,.06948006588612865,29.23448722185612,89.06406838552711,11.6289401489006,,
" 17874 (1998 YM3)",5.209313486242849,.0466446772076012,2.549866768417185,46.02484720223609,11.8899202613914,,
" 18037 (1999 NA38)",5.248087690795715,.08323992364693192,15.3633553782885,114.476349474844,12.0229163891218,,
" 18046 (1999 RN116)",5.21517119436161,.05730386650875784,33.27982316839793,164.6434907295042,11.909980656523,,36.00
" 18054 (1999 SW7)",5.214473058632909,.01479892206408562,19.68678370013288,124.868309482999,11.9075892188,,
" 18058 (1999 XY129)",5.129185267810169,.07874797510097482,9.07184575894976,26.15726209265951,11.6166467085504,,
" 18060 (1999 XJ156)",5.136772235521708,.05533836685589143,6.632038558163197,224.9320317527311,11.6424308348882,,
" 18062 (1999 XY187)",5.155486720521774,.04836320422534719,17.38229467239114,38.39178673177538,11.7061129730051,,
" 18063 (1999 XW211)",5.14438483365666,.0568016393742304,17.98946264018699,327.0440129234331,11.6683212107206,,
" 18071 (2000 BA27)",5.269111554894637,.05709887391095538,3.652302263758262,341.538169536947,12.0952344849667,,
" 18137 (2000 OU30)",5.124119691554402,.01751756657593112,7.659562754130343,218.9253626569303,11.5994420818518,,
" 18228 Hyperenor (3163 T-1)",5.278216011392178,.1281299874283074,3.200503762668969,12.29908749902401,12.1265969140387,,
" 18263 Anchialos (5167 T-2)",5.173591222552759,.04063935735295725,10.6155184549979,311.4331870300912,11.7678295412581,,
" 18268 Dardanos (2140 T-3)",5.163131390839523,.09630029630128543,16.59699791555099,218.3934965271766,11.7321597495507,,
" 18278 Drymas (4035 T-3)",5.191175661357445,.06694551993414299,17.91897677956086,31.51730994453149,11.8278767319069,,
" 18281 Tros (4317 T-3)",5.188234620509077,.1050074439686115,9.544707498708597,171.2234784430978,11.8178265977712,,
" 18282 Ilos (4369 T-3)",5.218078554672235,.07820428179417632,8.708003916585261,164.4341899414295,11.9199414313212,,
" 18493 Demoleon (1996 HV9)",5.305119891260095,.09133660454862157,17.1943568721026,215.5317704329071,12.219431659676,,
" 18940 (2000 QV49)",5.263515729893218,.07413516525123599,3.703614632061392,133.6798464059503,12.0759717947306,,
